YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2021-2022,Metropolitan,Carolina Hurricanes,116,54,20,8
2021-2022,Metropolitan,New York Rangers,110,52,24,6
2021-2022,Metropolitan,Pittsburgh Penguins,103,46,25,11
2021-2022,Metropolitan,Washington Capitals,100,44,26,12
2021-2022,Metropolitan,New York Islanders,84,37,35,10
2021-2022,Metropolitan,Columbus Blue Jackets,81,37,38,7
2021-2022,Metropolitan,New Jersey Devils,63,27,46,9
2021-2022,Metropolitan,Philadelphia Flyers,61,25,46,11
2021-2022,Atlantic,Florida Panthers,122,58,18,6
2021-2022,Atlantic,Toronto Maple Leafs,115,54,21,7
2021-2022,Atlantic,Tampa Bay Lightning,110,51,23,8
2021-2022,Atlantic,Boston Bruins,107,51,26,5
2021-2022,Atlantic,Buffalo Sabres,75,32,39,11
2021-2022,Atlantic,Detroit Red Wings,74,32,40,10
2021-2022,Atlantic,Ottawa Senators,73,33,42,7
2021-2022,Atlantic,Montréal Canadiens,55,22,49,11
2021-2022,Central,Colorado Avalanche,119,56,19,7
2021-2022,Central,Minnesota Wild,113,53,22,7
2021-2022,Central,St. Louis Blues,109,49,22,11
2021-2022,Central,Dallas Stars,98,46,30,6
2021-2022,Central,Nashville Predators,97,45,30,7
2021-2022,Central,Winnipeg Jets,89,39,32,11
2021-2022,Central,Chicago Blackhawks,68,28,42,12
2021-2022,Central,Arizona Coyotes,57,25,50,7
2021-2022,Pacific,Calgary Flames,111,50,21,11
2021-2022,Pacific,Edmonton Oilers,104,49,27,6
2021-2022,Pacific,Los Angeles Kings,99,44,27,11
2021-2022,Pacific,Vegas Golden Knights,94,43,31,8
2021-2022,Pacific,Vancouver Canucks,92,40,30,12
2021-2022,Pacific,San Jose Sharks,77,32,37,13
2021-2022,Pacific,Anaheim Ducks,76,31,37,14
2021-2022,Pacific,Seattle Kraken,60,27,49,6
